Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Status,Deemed Assets,Deemed Liability,Number of Wells,,,Area Name,Deemed Assets,Deemed Liability,,,,,,,,,
Well,Provost,0250953,104/15-06-041-11W4/00,Suspended Oil,Cummings,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0251363,105/13-14-040-10W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0253672,104/11-23-040-10W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,107826.52,48718,x,48718,,,,
Well,Provost,0253673,105/11-23-040-10W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0253679,109/12-23-040-10W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0256534,105/12-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0256535,106/12-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0256536,107/12-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0256537,104/05-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0256538,110/04-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0256539,106/05-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0256541,109/12-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0256542,109/05-32-040-11W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0256543,108/12-32-040-11W4/00,Suspended Oil,Mannville,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0256975,102/09-06-041-11W4/00,Suspended Oil,Glauconitic,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0256976,103/09-06-041-11W4/00,Suspended Oil,Cummings,AlphaBow,1,-,x,-,72503.53,48718,x,48718,,,,
Well,Provost,0260605,107/04-23-040-10W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0263502,100/11-11-041-12W4/00,Suspended Oil,"Ostracod,Ellerslie",AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0269466,103/16-28-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,98755.27,48718,x,48718,,,,
Well,Provost,0269623,104/15-28-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,HUGHENDEN BASAL QUARTZ NORTH NO 1 UNIT,x,-,0,48718,x,48718,,,,
Well,Provost,0269794,102/11-08-040-12W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0270168,105/07-22-040-10W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0270482,103/03-21-040-07W4/00,Suspended Oil,Dina,AlphaBow,1,-,x,-,59408.61,48718,x,48718,,,,
Well,Provost,0282665,102/10-35-040-12W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,0,48718,x,48718,,,,
Well,Provost,0282669,102/13-35-040-12W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,179465.22,48718,x,48718,,,,
Well,Provost,0282800,104/10-35-040-12W4/00,Suspended Oil,Ellerslie,AlphaBow,1,-,x,-,92254.46,48718,x,48718,,,,
