Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,0,29084411.87,,0,,
Type,Area Name,License #,Well UWI/ Facility Surface Location,Status,Formation,Licensee,Company WI%,Unit Name,Offer Op,Offer N-O,Deemed Assets,Deemed Liability,Cascade,Other Offers,,
Facility,-,F44667, 00/07-09-040-14W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F44895, 00/07-21-034-11W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F45334, 00/06-33-040-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F45965, 02/01-17-040-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F46308, 00/02-27-031-17W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F46809, 00/07-03-035-10W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F4683, 00/08-01-034-12W4,-,-,AlphaBow,-,-,x,-,0,167500,x,,,
Facility,-,F4686, 02/05-11-034-12W4,-,-,AlphaBow,-,-,x,-,0,601367,x,,,
Facility,-,F503, 00/12-05-010-19W4,-,-,AlphaBow,-,-,x,-,0,211250,x,,,
Facility,-,F515, 00/08-02-010-21W4,-,-,AlphaBow,-,-,x,-,0,126250,x,,,
Facility,-,F5411, 00/09-09-036-06W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F5413, 00/16-09-036-06W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F5460, 00/09-16-036-07W4,-,-,AlphaBow,-,-,x,-,0,67000,x,,,
Facility,-,F5493, 00/01-30-036-07W4,-,-,AlphaBow,-,-,x,-,0,335000,x,,,
Facility,-,F5503, 00/04-31-036-07W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F5624, 00/16-19-036-21W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F5636, 00/09-36-036-25W4,-,-,AlphaBow,-,-,x,-,0,221250,x,,,
Facility,-,F6102, 00/16-22-037-25W4,-,-,AlphaBow,-,-,x,-,0,136250,x,,,
Facility,-,F6104, 00/01-27-037-25W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F6434, 00/13-19-038-08W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F6608, 00/09-21-038-23W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F6998, 00/11-01-039-08W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F6999, 00/15-01-039-08W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F7000, 00/16-01-039-08W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F7039, 00/07-23-039-08W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F7045, 00/10-23-039-08W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F7046, 00/16-23-039-08W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F7137, 00/06-33-039-13W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F7521, 00/06-30-040-01W4,-,-,AlphaBow,-,-,x,-,0,136250,x,,,
Facility,-,F7523, 00/14-30-040-01W4,-,-,AlphaBow,-,-,x,-,0,54500,x,,,
Facility,-,F7755, 00/09-20-040-07W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F7757, 00/07-21-040-07W4,-,-,AlphaBow,-,-,x,-,0,442500,x,,,
Facility,-,F7768, 00/06-27-040-07W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F7771, 00/13-27-040-07W4,-,-,AlphaBow,-,-,x,-,0,1770000,x,,,
Facility,-,F7773, 00/15-28-040-07W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F7774, 00/01-33-040-07W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F7867, 00/06-16-040-10W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F7887, 00/05-23-040-10W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F7889, 00/04-27-040-10W4,-,-,AlphaBow,-,-,x,-,0,442500,x,,,
Facility,-,F7892, 00/05-28-040-10W4,-,-,AlphaBow,-,-,x,-,0,0,x,,,
Facility,-,F7895, 00/13-30-040-10W4,-,-,AlphaBow,-,-,x,-,0,545000,x,,,
Facility,-,F7896, 00/13-30-040-10W4,-,-,AlphaBow,-,-,x,-,0,1546623.26,x,,,
Facility,-,F7912, 00/02-32-040-11W4,-,-,AlphaBow,-,-,x,-,0,885000,x,,,
Facility,-,F7913, 00/08-32-040-11W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F7965, 00/08-04-040-12W4,-,-,AlphaBow,-,-,x,-,0,54500,x,,,
Facility,-,F7970, 00/07-07-040-12W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F7973, 00/06-08-040-12W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F7979, 00/06-09-040-12W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F7981, 00/11-09-040-12W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
Facility,-,F7983, 00/13-09-040-12W4,-,-,AlphaBow,-,-,x,-,0,54500,x,,,
Facility,-,F7989, 00/04-16-040-12W4,-,-,AlphaBow,-,-,x,-,0,885000,x,,,
Facility,-,F7992, 00/02-17-040-12W4,-,-,AlphaBow,-,-,x,-,0,88500,x,,,
